id,f0
1-C0,137.2741699
2-D0,153.4240723
3-D#0,164.1906738
4-E0,169.5739746
5-F0,183.0322266
6-F#0,191.1071777
7-G0,201.8737793
8-G#0,212.6403809
9-A0,226.0986328
10-A#0,242.2485352
11-B0,253.0151367
12-c1,269.1650391
13-c#1,282.623291
14-d1,301.4648438
15-d#1,322.9980469
16-e1,341.8395996
17-f1,363.3728027
18-f#1,382.2143555
19-g1,409.1308594
20-g#1,427.9724121
21-a1,454.888916
22-a#1,487.1887207
23-b1,508.7219238
24-c2,543.7133789
25-c#2,570.6298828
26-d2,608.3129883
27-d#2,651.3793945
28-e2,683.6791992
29-f2,732.1289063
30-f#2,759.0454102
31-g2,818.2617188
32-g#2,850.5615234
33-a2,904.3945313
34-a#2,968.9941406
35-b2,1017.443848
36-c3,1087.426758
37-c#3,1141.259766
38-d3,1216.625977
39-d#3,1291.992188
40-e3,1356.591797
41-f3,1453.491211
42-f#3,1518.09082
43-g3,1625.756836
44-g#3,1701.123047
45-a3,1808.789063
46-a#3,1937.988281
47-b3,2034.887695
48-c4,2174.853516
49-c#4,2282.519531
50-d4,2433.251953
